기관 명,모델명,시리얼,구분,초미세먼지(㎍/㎥),미세먼지(㎍/㎥),기온(℃),상대습도( %),풍향(°),풍속(m/s),돌풍 풍향(°),돌풍 풍속(m/s),조도(lux),자외선(UVI),소음(dB),진동_x(g),진동_y(g),진동_z(g),진동_x 최대(g),진동_y 최대(g),진동_z 최대(g),흑구 운도(℃),초미세먼지 보정(㎍/㎥),미세먼지 보정(㎍/㎥),전송시간,등록일자
서울시,SDOT001,OC3CL200184,1,0,1,16.6,42,,,,,,,54,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200181,1,0,1,-40,44,,,,,,,58,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200182,1,1,2,16.4,54,,,,,,,54,,,,,,,,3,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200180,1,1,2,16.6,45,,,,,,,62,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200179,1,0,2,16.2,44,,,,,,,58,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200177,1,0,1,16.4,56,,,,,,,52,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200178,1,1,2,16.9,44,,,,,,,59,,,,,,,,1,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200175,1,0,1,16.2,57,,,,,,,55,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200174,1,0,0,17.4,47,,,,,,,68,0.02,0.05,0.99,0.06,0.12,1.1,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200176,1,1,2,16,62,,,,,,,61,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200211,1,1,2,16.5,50,,,,,,,60,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200208,1,0,1,16.1,47,,,,,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200209,1,0,1,16.7,51,,,,,,,59,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200212,1,2,3,16.8,49,,,,,,,65,,,,,,,,3,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200215,1,0,1,17.2,48,,,,,,,69,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200210,1,1,2,16.6,44,,,,,,,59,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200207,1,0,1,16.4,52,,,,,,,41,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200206,1,1,2,15.9,56,,,,,,,60,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
